factor_id,layer,second_level,factor_name,event_or_factor,impact_path,affected_entities,direction_rule,time_horizon,data_sources,data_availability,proxy_variables,lag_days,confidence_default,backtestable,compliance_flag,trade_usage,ai_role,quantifiability,backtest_value,notes,source_file,source_section,taxonomy_version
capital_market_supply_factor_an,资本市场制度与供需层,融资融券,融资盘踩踏,factor,下跌触发强平或止损,高杠杆热门股,see impact_path,,,A/D,,,,true,public_data,factor_signal,中,中,高,结合跌幅和融资余额,股价影响因素全景表v2.0.md,4.14,v2.0
capital_market_supply_factor_ao,资本市场制度与供需层,指数编制,纳入指数,event,被动资金买入,大中盘、指数成分,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,中,高,纳入前常提前交易,股价影响因素全景表v2.0.md,4.15,v2.0
capital_market_supply_factor_ap,资本市场制度与供需层,指数编制,剔除指数,event,被动资金卖出,指数成分股,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,中,高,关注调仓日,股价影响因素全景表v2.0.md,4.16,v2.0
capital_market_supply_factor_aq,资本市场制度与供需层,ETF 资金,ETF 大额申购,factor,被动买入成分股,指数成分股,see impact_path,,,A/B,,,,partial,public_data,factor_signal,低,中,中,影响权重股更明显,股价影响因素全景表v2.0.md,4.17,v2.0
capital_market_supply_factor_ar,资本市场制度与供需层,ETF 资金,ETF 赎回,factor,被动卖出成分股,指数成分股,see impact_path,,,A/B,,,,partial,public_data,factor_signal,低,中,中,下跌时放大波动,股价影响因素全景表v2.0.md,4.18,v2.0
capital_market_supply_factor_as,资本市场制度与供需层,公募制度,基金费率变化,factor,长线资金配置意愿变化,公募重仓、指数产品,see impact_path,,,A/C,,,,partial,public_data,factor_signal,中,中,中,影响偏中长期,股价影响因素全景表v2.0.md,4.19,v2.0
capital_market_supply_factor_at,资本市场制度与供需层,长线资金,养老金/保险增配,factor,市场资金供给改善,蓝筹、红利、宽基,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,政策信号和实际配置有差距,股价影响因素全景表v2.0.md,4.20,v2.0
capital_market_supply_factor_au,资本市场制度与供需层,监管维稳,市场维稳政策,event,风险偏好改善，卖压下降,全市场,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,可能扭曲正常价格发现,股价影响因素全景表v2.0.md,4.21,v2.0
capital_market_supply_factor_av,资本市场制度与供需层,监管维稳,限制卖出 / 窗口指导,event,人为降低短期卖压,机构、私募、部分股票,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,低,低/中,数据难结构化，但现实影响大,股价影响因素全景表v2.0.md,4.22,v2.0
capital_market_supply_factor_aw,资本市场制度与供需层,监管态度,量化/高频监管加强,event,策略受限，资金风格变化,高频、量化、小微盘,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,规则变化需持续更新,股价影响因素全景表v2.0.md,4.23,v2.0
capital_market_supply_factor_ax,资本市场制度与供需层,监管态度,严打操纵/财务造假,event,劣质股承压，市场质量改善,小盘、绩差股,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,长期利好市场质量,股价影响因素全景表v2.0.md,4.24,v2.0
capital_market_supply_factor_ay,资本市场制度与供需层,信息服务制度,增值行情数据受限,factor,高频和微观结构策略受影响,量化、高频、机构,see impact_path,,,C/D,,,,false,restricted,observe_only,高,低,低,对小资金低频影响较小,股价影响因素全景表v2.0.md,4.25,v2.0
trading_microstructure_factor_aa,交易行为与微观结构层,成交量,放量上涨,factor,资金确认，趋势增强,所有股票,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,高位放量可能是出货,股价影响因素全景表v2.0.md,5.1,v2.0
trading_microstructure_factor_ab,交易行为与微观结构层,成交量,放量下跌,factor,恐慌或机构卖出,所有股票,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,低位放量可能是换手,股价影响因素全景表v2.0.md,5.2,v2.0
trading_microstructure_factor_ac,交易行为与微观结构层,成交量,缩量上涨,factor,抛压小但资金不足,所有股票,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,容易冲高回落,股价影响因素全景表v2.0.md,5.3,v2.0
trading_microstructure_factor_ad,交易行为与微观结构层,成交量,缩量下跌,factor,关注度低或阴跌,所有股票,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,可能是无人承接,股价影响因素全景表v2.0.md,5.4,v2.0
trading_microstructure_factor_ae,交易行为与微观结构层,换手率,高换手,factor,筹码快速交换，短线博弈增强,小盘、题材,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,高位高换手风险大,股价影响因素全景表v2.0.md,5.5,v2.0
trading_microstructure_factor_af,交易行为与微观结构层,换手率,低换手,factor,筹码稳定或流动性差,大盘股、冷门股,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,流动性不足影响交易,股价影响因素全景表v2.0.md,5.6,v2.0
trading_microstructure_factor_ag,交易行为与微观结构层,价格行为,突破平台,factor,趋势资金入场,趋势股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,假突破常见,股价影响因素全景表v2.0.md,5.7,v2.0
trading_microstructure_factor_ah,交易行为与微观结构层,价格行为,跌破支撑,factor,止损盘触发,所有股票,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,结合量能判断,股价影响因素全景表v2.0.md,5.8,v2.0
trading_microstructure_factor_ai,交易行为与微观结构层,价格行为,跳空高开,factor,情绪强化或资金抢筹,题材、事件股,see impact_path,,,A,,,,partial,public_data,factor_signal,中,高,中,高开低走风险大,股价影响因素全景表v2.0.md,5.9,v2.0
trading_microstructure_factor_aj,交易行为与微观结构层,价格行为,跳空低开,factor,恐慌或利空释放,风险股,see impact_path,,,A,,,,partial,public_data,factor_signal,中,高,中,可能利空出尽,股价影响因素全景表v2.0.md,5.10,v2.0
trading_microstructure_factor_ak,交易行为与微观结构层,涨停结构,首板,factor,题材启动可能性,短线题材,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,首板成功率需历史验证,股价影响因素全景表v2.0.md,5.11,v2.0
trading_microstructure_factor_al,交易行为与微观结构层,涨停结构,连板,factor,情绪强化，龙头形成,游资题材,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,退潮时风险巨大,股价影响因素全景表v2.0.md,5.12,v2.0
trading_microstructure_factor_am,交易行为与微观结构层,涨停结构,炸板,factor,资金分歧，情绪转弱,短线题材,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,炸板率是情绪指标,股价影响因素全景表v2.0.md,5.13,v2.0
trading_microstructure_factor_an,交易行为与微观结构层,涨停结构,封单强弱,factor,资金抢筹或虚假强势,短线题材,see impact_path,,,A/D,,,,partial,public_data,factor_signal,低,中,中,盘口数据要求高,股价影响因素全景表v2.0.md,5.14,v2.0
trading_microstructure_factor_ao,交易行为与微观结构层,龙虎榜,知名游资买入,factor,短线关注度上升,题材股,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,游资买入不等于次日上涨,股价影响因素全景表v2.0.md,5.15,v2.0
trading_microstructure_factor_ap,交易行为与微观结构层,龙虎榜,机构席位买入,factor,中线资金认可可能增强,趋势股、成长股,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,假机构席位需谨慎,股价影响因素全景表v2.0.md,5.16,v2.0
trading_microstructure_factor_aq,交易行为与微观结构层,北向资金,北向流入,factor,蓝筹和权重股情绪改善,白马、核心资产,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,北向不是永远聪明资金,股价影响因素全景表v2.0.md,5.17,v2.0
trading_microstructure_factor_ar,交易行为与微观结构层,北向资金,北向流出,factor,风险偏好下降,蓝筹、核心资产,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,汇率和海外风险影响大,股价影响因素全景表v2.0.md,5.18,v2.0
trading_microstructure_factor_as,交易行为与微观结构层,公募资金,基金抱团,factor,估值提升，风格强化,消费、医药、新能源等,see impact_path,,,B/D,,,,partial,public_data,factor_signal,中,中,中,持仓披露滞后,股价影响因素全景表v2.0.md,5.19,v2.0
trading_microstructure_factor_at,交易行为与微观结构层,公募资金,基金赎回压力,factor,被动卖出重仓股,基金重仓股,see impact_path,,,B/D,,,,partial,public_data,factor_signal,中,中,中,直接赎回数据难拿,股价影响因素全景表v2.0.md,5.20,v2.0
trading_microstructure_factor_au,交易行为与微观结构层,量化资金,小盘量化暴露,factor,小微盘风格强化或踩踏,小盘股,see impact_path,,,D,,,,partial,unknown,factor_signal,中,中,中,用风格指数代理,股价影响因素全景表v2.0.md,5.21,v2.0
trading_microstructure_factor_av,交易行为与微观结构层,风控资金,回撤触发减仓,factor,趋势下跌被放大,机构重仓股,see impact_path,,,D,,,,partial,unknown,factor_signal,中,中,中,只能通过价格和风格反推,股价影响因素全景表v2.0.md,5.22,v2.0
trading_microstructure_factor_aw,交易行为与微观结构层,算法交易,VWAP/TWAP 拆单,factor,成交节奏影响盘口,大额交易标的,see impact_path,,,D,,,,false,unknown,factor_signal,低,低,低,普通数据难识别,股价影响因素全景表v2.0.md,5.23,v2.0
trading_microstructure_factor_ax,交易行为与微观结构层,高频交易,盘口订单流变化,factor,短期价差和流动性变化,高流动性标的,see impact_path,,,D,,,,partial,unknown,factor_signal,低,中,低/中,需要 Level-2 数据,股价影响因素全景表v2.0.md,5.24,v2.0
trading_microstructure_factor_ay,交易行为与微观结构层,异常资金,长期横盘后放量,factor,疑似吸筹后拉升,小盘低流动性股,see impact_path,,,A/D,,,,partial,public_data,factor_signal,中,中,中,不能断言操纵，只能做异常标签,股价影响因素全景表v2.0.md,5.25,v2.0
trading_microstructure_factor_az,交易行为与微观结构层,异常资金,高位放巨量滞涨,factor,疑似出货风险,小盘题材股,see impact_path,,,A/D,,,,true,public_data,factor_signal,中,中,高,适合作为风险过滤,股价影响因素全景表v2.0.md,5.26,v2.0
trading_microstructure_factor_ba,交易行为与微观结构层,尾盘行为,尾盘拉升,factor,抢筹、做收盘价或次日预期,短线股,see impact_path,,,A,,,,partial,public_data,factor_signal,中,高,中,不一定是真强势,股价影响因素全景表v2.0.md,5.27,v2.0
trading_microstructure_factor_bb,交易行为与微观结构层,尾盘行为,尾盘跳水,factor,资金撤退或风险暴露,所有股票,see impact_path,,,A,,,,partial,public_data,factor_signal,中,高,中,看是否有新闻/公告,股价影响因素全景表v2.0.md,5.28,v2.0
trading_microstructure_factor_bc,交易行为与微观结构层,板块联动,板块集体上涨,factor,题材或行业资金流入,板块内股票,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,龙头和后排差异大,股价影响因素全景表v2.0.md,5.29,v2.0
trading_microstructure_factor_bd,交易行为与微观结构层,板块联动,板块分化,factor,资金只认可龙头,题材板块,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,后排补涨风险高,股价影响因素全景表v2.0.md,5.30,v2.0
disclosure_sentiment_factor_aa,信息披露与舆情传播层,法定披露,业绩预告上修,event,盈利预期改善,个股,see impact_path,,,A,,,,true,public_data,factor_signal,高,高,高,是否超预期是关键,股价影响因素全景表v2.0.md,6.1,v2.0
disclosure_sentiment_factor_ab,信息披露与舆情传播层,法定披露,业绩预告下修,event,盈利预期下降,个股,see impact_path,,,A,,,,true,public_data,factor_signal,高,高,高,有时利空出尽,股价影响因素全景表v2.0.md,6.2,v2.0
disclosure_sentiment_factor_ac,信息披露与舆情传播层,法定披露,重大合同公告,event,未来收入确定性增强,工程、设备、军工,see impact_path,,,A,,,,partial,public_data,factor_signal,高,中,中,合同利润率未知,股价影响因素全景表v2.0.md,6.3,v2.0
disclosure_sentiment_factor_ad,信息披露与舆情传播层,法定披露,并购重组,event,资产注入或估值重构,个股,see impact_path,,,A,,,,partial,public_data,factor_signal,高,中,中,失败风险和估值过高风险,股价影响因素全景表v2.0.md,6.4,v2.0
disclosure_sentiment_factor_ae,信息披露与舆情传播层,法定披露,监管问询函,event,风险关注上升,个股,see impact_path,,,A,,,,true,public_data,factor_signal,高,中,高,财务问题尤其重要,股价影响因素全景表v2.0.md,6.5,v2.0
disclosure_sentiment_factor_af,信息披露与舆情传播层,法定披露,处罚公告,event,声誉和合规风险,个股/行业,see impact_path,,,A,,,,true,public_data,risk_filter,高,中,高,处罚金额和性质要区分,股价影响因素全景表v2.0.md,6.6,v2.0
disclosure_sentiment_factor_ag,信息披露与舆情传播层,财报文本,管理层语气变化,factor,未来预期变弱或变强,所有公司,see impact_path,,,A,,,,partial,public_data,factor_signal,高,中,中,NLP 可做语气和风险词,股价影响因素全景表v2.0.md,6.7,v2.0
disclosure_sentiment_factor_ah,信息披露与舆情传播层,财报文本,风险提示增加,factor,潜在经营压力,所有公司,see impact_path,,,A,,,,partial,public_data,risk_filter,高,中,中,需历史对比,股价影响因素全景表v2.0.md,6.8,v2.0
disclosure_sentiment_factor_ai,信息披露与舆情传播层,政策新闻,部委政策文件,event,政策预期变化,行业/全市场,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,区分传闻、征求意见、正式文件,股价影响因素全景表v2.0.md,6.9,v2.0
disclosure_sentiment_factor_aj,信息披露与舆情传播层,政策新闻,地方政策,event,区域行业受影响,区域产业链,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,需区域公司映射,股价影响因素全景表v2.0.md,6.10,v2.0
disclosure_sentiment_factor_ak,信息披露与舆情传播层,行业新闻,行业景气新闻,event,行业预期变化,行业股,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,需要产业链映射,股价影响因素全景表v2.0.md,6.11,v2.0
disclosure_sentiment_factor_al,信息披露与舆情传播层,行业新闻,地方新闻,event,工厂、项目、事故早期信息,个股/区域产业,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,地方新闻常有早期信号,股价影响因素全景表v2.0.md,6.12,v2.0
disclosure_sentiment_factor_am,信息披露与舆情传播层,海外新闻,海外政策 / 供应链事件,event,出口、供应链、地缘影响,出口链、资源链,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,需要中英文数据源,股价影响因素全景表v2.0.md,6.13,v2.0
disclosure_sentiment_factor_an,信息披露与舆情传播层,舆情讨论,讨论量暴增,factor,市场关注度上升,题材股、消费品牌,see impact_path,,,C,,,,partial,public_data,factor_signal,高,高,中,高热度不等于利好,股价影响因素全景表v2.0.md,6.14,v2.0
disclosure_sentiment_factor_ao,信息披露与舆情传播层,舆情讨论,负面率上升,factor,声誉风险、销售风险,消费、医药、平台公司,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,水军和竞品攻击要过滤,股价影响因素全景表v2.0.md,6.15,v2.0
disclosure_sentiment_factor_ap,信息披露与舆情传播层,舆情讨论,争议度上升,factor,情绪分裂，波动加大,公众公司、品牌公司,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,争议可能带来流量或风险,股价影响因素全景表v2.0.md,6.16,v2.0
disclosure_sentiment_factor_aq,信息披露与舆情传播层,传播路径,跨平台扩散,factor,事件影响扩大,消费、互联网、明星公司,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,从小平台扩到主流媒体更危险,股价影响因素全景表v2.0.md,6.17,v2.0
disclosure_sentiment_factor_ar,信息披露与舆情传播层,传播路径,KOL 参与,factor,传播速度和可信度上升,题材、品牌、消费,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,KOL 历史准确率重要,股价影响因素全景表v2.0.md,6.18,v2.0
disclosure_sentiment_factor_as,信息披露与舆情传播层,传播质量,水军/机器人异常,factor,虚假热度或舆论操纵,题材、争议事件,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,中,中,和舆情系统高度相关,股价影响因素全景表v2.0.md,6.19,v2.0
disclosure_sentiment_factor_at,信息披露与舆情传播层,谣言小作文,并购传闻,event,短线情绪拉升,个股、题材股,see impact_path,,,C,,,,partial,rumor_only,observe_only,高,低,中,真实性未知，不能直接交易,股价影响因素全景表v2.0.md,6.20,v2.0
disclosure_sentiment_factor_au,信息披露与舆情传播层,谣言小作文,监管传闻,event,短期波动放大,行业/个股,see impact_path,,,C,,,,partial,rumor_only,observe_only,高,低,中,等正式文件验证,股价影响因素全景表v2.0.md,6.21,v2.0
disclosure_sentiment_factor_av,信息披露与舆情传播层,谣言小作文,订单传闻,event,收入预期变化,供应链公司,see impact_path,,,C/D,,,,partial,rumor_only,observe_only,高,低,中,容易被资金利用,股价影响因素全景表v2.0.md,6.22,v2.0
disclosure_sentiment_factor_aw,信息披露与舆情传播层,辟谣澄清,公司澄清公告,event,预期修正或情绪降温,个股,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,看澄清是否有实质证据,股价影响因素全景表v2.0.md,6.23,v2.0
disclosure_sentiment_factor_ax,信息披露与舆情传播层,搜索热度,品牌搜索上升,factor,消费关注度变化,消费、旅游、互联网,see impact_path,,,C,,,,partial,public_data,factor_signal,中,中,中,热度可能来自负面事件,股价影响因素全景表v2.0.md,6.24,v2.0
disclosure_sentiment_factor_ay,信息披露与舆情传播层,招聘信息,招聘岗位增加,factor,业务扩张或项目推进,科技、制造、服务,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,招聘不等于收入增长,股价影响因素全景表v2.0.md,6.25,v2.0
disclosure_sentiment_factor_az,信息披露与舆情传播层,专利信息,专利数量/质量变化,factor,技术储备变化,科技、医药、制造,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,低/中,长期指标，短线价值低,股价影响因素全景表v2.0.md,6.26,v2.0
disclosure_sentiment_factor_ba,信息披露与舆情传播层,招投标,中标公告,event,未来订单确认,工程、软件、设备,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,中标金额和利润率需判断,股价影响因素全景表v2.0.md,6.27,v2.0
disclosure_sentiment_factor_bb,信息披露与舆情传播层,诉讼处罚,法院/监管公开信息,event,合规和现金流风险,所有公司,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,看金额和核心业务相关性,股价影响因素全景表v2.0.md,6.28,v2.0
disclosure_sentiment_factor_bc,信息披露与舆情传播层,媒体层级,主流媒体报道,event,信息可信度和传播面提升,所有公司,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,来源权威度要打分,股价影响因素全景表v2.0.md,6.29,v2.0
disclosure_sentiment_factor_bd,信息披露与舆情传播层,信息时效,抓取时间差,factor,越早识别越有事件价值,事件驱动策略,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,高,高,必须记录公开时间和抓取时间,股价影响因素全景表v2.0.md,6.30,v2.0
expectation_valuation_factor_aa,预期、估值与定价偏离层,业绩预期,业绩超预期,factor,盈利预测上调，估值修复,个股,see impact_path,,,A/B,,,,true,public_data,factor_signal,中,高,高,关键是相对市场预期，不是同比本身,股价影响因素全景表v2.0.md,7.1,v2.0
expectation_valuation_factor_ab,预期、估值与定价偏离层,业绩预期,业绩不及预期,factor,盈利预测下调,个股,see impact_path,,,A/B,,,,true,public_data,factor_signal,中,高,高,低预期下小幅差可能利空有限,股价影响因素全景表v2.0.md,7.2,v2.0
expectation_valuation_factor_ac,预期、估值与定价偏离层,业绩预期,业绩指引上修,event,管理层预期改善,个股,see impact_path,,,A,,,,true,public_data,factor_signal,高,中,高,看是否有具体数据支撑,股价影响因素全景表v2.0.md,7.3,v2.0
expectation_valuation_factor_ad,预期、估值与定价偏离层,业绩预期,业绩指引下修,event,管理层预期恶化,个股,see impact_path,,,A,,,,true,public_data,factor_signal,高,中,高,可能触发估值重估,股价影响因素全景表v2.0.md,7.4,v2.0
expectation_valuation_factor_ae,预期、估值与定价偏离层,分析师预期,盈利预测上调,factor,机构预期改善,机构覆盖股票,see impact_path,,,B,,,,partial,public_data,factor_signal,中,中,中,数据源成本可能较高,股价影响因素全景表v2.0.md,7.5,v2.0
expectation_valuation_factor_af,预期、估值与定价偏离层,分析师预期,盈利预测下调,factor,机构预期恶化,机构覆盖股票,see impact_path,,,B,,,,partial,public_data,factor_signal,中,中,中,滞后性较强,股价影响因素全景表v2.0.md,7.6,v2.0
expectation_valuation_factor_ag,预期、估值与定价偏离层,机构评级,上调评级,factor,风险偏好改善,蓝筹、成长股,see impact_path,,,B/C,,,,partial,public_data,factor_signal,中,中,中,国内评级偏乐观,股价影响因素全景表v2.0.md,7.7,v2.0
expectation_valuation_factor_ah,预期、估值与定价偏离层,机构评级,下调评级,factor,估值压力,蓝筹、成长股,see impact_path,,,B/C,,,,partial,public_data,factor_signal,中,中,中,有时已经跌完,股价影响因素全景表v2.0.md,7.8,v2.0
expectation_valuation_factor_ai,预期、估值与定价偏离层,估值水平,PE/PB 分位数低,factor,估值修复空间,价值股、周期股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,低估值可能是价值陷阱,股价影响因素全景表v2.0.md,7.9,v2.0
expectation_valuation_factor_aj,预期、估值与定价偏离层,估值水平,PE/PB 分位数高,factor,估值透支风险,成长股、题材股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,高估值需高增长支持,股价影响因素全景表v2.0.md,7.10,v2.0
expectation_valuation_factor_ak,预期、估值与定价偏离层,估值水平,股息率高,factor,红利吸引力增强,银行、煤炭、公用事业,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,利率环境很重要,股价影响因素全景表v2.0.md,7.11,v2.0
expectation_valuation_factor_al,预期、估值与定价偏离层,估值水平,股息率下降,factor,红利吸引力下降,红利股,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,可能因股价上涨导致,股价影响因素全景表v2.0.md,7.12,v2.0
expectation_valuation_factor_am,预期、估值与定价偏离层,已定价程度,事件前大幅上涨,event,利好可能已提前反映,热门股、题材股,see impact_path,,事件前涨幅、相对强弱,A,,,,true,public_data,factor_signal,低,高,高,适合过滤追高,股价影响因素全景表v2.0.md,7.13,v2.0
expectation_valuation_factor_an,预期、估值与定价偏离层,已定价程度,事件前大幅下跌,event,利空可能已提前反映,风险股、周期股,see impact_path,,事件前涨幅、相对强弱,A,,,,partial,public_data,factor_signal,低,高,中,需要资金确认,股价影响因素全景表v2.0.md,7.14,v2.0
expectation_valuation_factor_ao,预期、估值与定价偏离层,利好兑现,好消息后下跌,factor,资金借利好出货,热门股,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,A 股常见,股价影响因素全景表v2.0.md,7.15,v2.0
expectation_valuation_factor_ap,预期、估值与定价偏离层,利空出尽,坏消息后上涨,factor,风险释放后反弹,风险股、周期股,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,要有成交确认,股价影响因素全景表v2.0.md,7.16,v2.0
expectation_valuation_factor_aq,预期、估值与定价偏离层,风格轮动,成长风格占优,factor,高估值科技股受益,科技、医药、新能源,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,风格切换快,股价影响因素全景表v2.0.md,7.17,v2.0
expectation_valuation_factor_ar,预期、估值与定价偏离层,风格轮动,价值/红利风格占优,factor,高分红低估值股受益,银行、煤炭、公用事业,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,利率下行时红利可能受益,股价影响因素全景表v2.0.md,7.18,v2.0
expectation_valuation_factor_as,预期、估值与定价偏离层,风格轮动,小盘风格占优,factor,小市值股票溢价,中小盘、题材股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,容易受量化和监管影响,股价影响因素全景表v2.0.md,7.19,v2.0
expectation_valuation_factor_at,预期、估值与定价偏离层,风格轮动,大盘风格占优,factor,蓝筹权重受益,沪深300、央国企,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,资金配置决定强弱,股价影响因素全景表v2.0.md,7.20,v2.0
expectation_valuation_factor_au,预期、估值与定价偏离层,因子拥挤,热门赛道过度拥挤,factor,小利空引发大跌,成长、主题股,see impact_path,,,B/C,,,,partial,public_data,factor_signal,中,中,中,需要持仓和估值代理,股价影响因素全景表v2.0.md,7.21,v2.0
expectation_valuation_factor_av,预期、估值与定价偏离层,因子拥挤,低关注度基本面改善,factor,预期差较大,冷门股、中小盘,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,流动性风险较高,股价影响因素全景表v2.0.md,7.22,v2.0
expectation_valuation_factor_aw,预期、估值与定价偏离层,反身性,股价上涨改善融资和信心,factor,上涨强化基本面预期,成长股、题材股,see impact_path,,,A/D,,,,partial,public_data,factor_signal,高,中,中,泡沫阶段常见,股价影响因素全景表v2.0.md,7.23,v2.0
expectation_valuation_factor_ax,预期、估值与定价偏离层,反身性,股价下跌引发质押/信心恶化,factor,下跌强化风险,民企、小盘股,see impact_path,,,A/D,,,,true,public_data,factor_signal,高,中,高,风险过滤价值高,股价影响因素全景表v2.0.md,7.24,v2.0
expectation_valuation_factor_ay,预期、估值与定价偏离层,事件后漂移,公告后继续上涨,event,市场缓慢消化利好,盈利超预期、政策受益股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,适合事件研究,股价影响因素全景表v2.0.md,7.25,v2.0
expectation_valuation_factor_az,预期、估值与定价偏离层,事件后反转,公告后短涨后跌,event,过度反应回归,热门题材,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,需要分事件类型回测,股价影响因素全景表v2.0.md,7.26,v2.0
expectation_valuation_factor_ba,预期、估值与定价偏离层,相对强弱,强于行业指数,factor,个股逻辑被确认,个股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,排除行业 beta,股价影响因素全景表v2.0.md,7.27,v2.0
expectation_valuation_factor_bb,预期、估值与定价偏离层,相对强弱,弱于行业指数,factor,个股逻辑不被认可,个股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,可能有隐藏风险,股价影响因素全景表v2.0.md,7.28,v2.0
expectation_valuation_factor_bc,预期、估值与定价偏离层,估值锚变化,行业估值中枢上移,factor,市场重估行业空间,成长、政策受益行业,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,可能来自叙事变化,股价影响因素全景表v2.0.md,7.29,v2.0
expectation_valuation_factor_bd,预期、估值与定价偏离层,估值锚变化,行业估值中枢下移,factor,赛道降温或盈利模式受疑,高估值行业,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,常与政策、竞争格局相关,股价影响因素全景表v2.0.md,7.30,v2.0
risk_compliance_factor_aa,风险事件与合规边界层,财务异常,财务重述,event,历史财务可信度下降,所有公司,see impact_path,,,A/C,,,,true,public_data,risk_filter,高,中,高,适合风险过滤,股价影响因素全景表v2.0.md,8.1,v2.0
risk_compliance_factor_ab,风险事件与合规边界层,财务异常,审计非标意见,event,财务风险上升,所有公司,see impact_path,,,A,,,,true,public_data,risk_filter,高,高,高,年报季尤其重要,股价影响因素全景表v2.0.md,8.2,v2.0
risk_compliance_factor_ac,风险事件与合规边界层,财务异常,现金流与利润严重背离,event,利润质量可疑,所有公司,see impact_path,,,A,,,,true,public_data,risk_filter,中,高,高,需要多期观察,股价影响因素全景表v2.0.md,8.3,v2.0
risk_compliance_factor_ad,风险事件与合规边界层,信披违规,监管处罚,event,信任崩塌，估值折价,所有公司,see impact_path,,,A/C,,,,true,public_data,risk_filter,高,中,高,处罚性质很关键,股价影响因素全景表v2.0.md,8.4,v2.0
risk_compliance_factor_ae,风险事件与合规边界层,信披违规,交易所问询未充分回复,event,风险关注上升,所有公司,see impact_path,,,A/C,,,,partial,public_data,risk_filter,高,中,中,可作为风险预警,股价影响因素全景表v2.0.md,8.5,v2.0
risk_compliance_factor_af,风险事件与合规边界层,停牌风险,临时停牌,event,流动性中断,个股,see impact_path,,,A,,,,true,public_data,risk_filter,低,高,高,直接进入风控,股价影响因素全景表v2.0.md,8.6,v2.0
risk_compliance_factor_ag,风险事件与合规边界层,退市风险,ST / *ST,event,估值和流动性崩塌,绩差股,see impact_path,,,A,,,,true,public_data,risk_filter,高,高,高,适合直接排除,股价影响因素全景表v2.0.md,8.7,v2.0
